customer_id,first_name,last_name,city,state_name,phone_number,email,registration_date
1,Ana,Simpson,Seattle,WA,72248534,ana_simpson@mail.com,2019-10-07
2,Sara,Scott,Tijeras,NM,98097502,sara_scott@mail.com,2019-09-07
3,Dwight,Wright,Albuquerque,NM,24764116,dwight_wright@mail.com,2019-01-07
4,John,Lenin,Albuquerque,NM,19227711,john_lenin@mail.com,2019-07-07
5,Ana,Asis,Albuquerque,NM,99513144,ana_asis@mail.com,2019-06-07
6,Sara,Wright,Albuquerque,NM,60398825,sara_wright@mail.com,2019-07-07
7,Dwight,Wright,Albuquerque,NM,48577538,dwight_wright@mail.com,2019-02-07
8,Ana,Moctezuma,Albuquerque,NM,38950319,ana_moctezuma@mail.com,2019-04-07
9,John,Scott,Albuquerque,NM,41348931,john_scott@mail.com,2019-10-07
10,Debbie,Simpson,Albuquerque,NM,34144943,debbie_simpson@mail.com,2019-06-07
11,Ana,Lenin,Albuquerque,NM,84308622,ana_lenin@mail.com,2019-10-07
12,Sara,Scott,Albuquerque,NM,65872654,sara_scott@mail.com,2019-11-07
13,Sara,Asis,Albuquerque,NM,36556132,sara_asis@mail.com,2019-11-07
14,John,Wright,Albuquerque,NM,13542328,john_wright@mail.com,2019-02-07
15,Sara,Moctezuma,Albuquerque,NM,93553491,sara_moctezuma@mail.com,2019-06-07
16,Debbie,Moctezuma,Albuquerque,NM,81127071,debbie_moctezuma@mail.com,2019-04-07
17,Ana,Scott,Albuquerque,NM,91939982,ana_scott@mail.com,2019-10-07
18,Ana,Moctezuma,Albuquerque,NM,74077696,ana_moctezuma@mail.com,2019-01-07
19,Sara,Scott,Santa Fe,NM,77047697,sara_scott@mail.com,2019-09-07
20,John,Drinkwater,Albuquerque,NM,84918653,john_drinkwater@mail.com,2019-03-07
21,Debbie,Drinkwater,Albuquerque,NM,79920504,debbie_drinkwater@mail.com,2019-08-07
22,Dwight,Asis,Albuquerque,NM,11013793,dwight_asis@mail.com,2019-12-07
23,Ana,Lenin,Santa Fe,NM,34319458,ana_lenin@mail.com,2019-03-07
24,Ron,Scott,Santa Fe,NM,42787095,ron_scott@mail.com,2019-10-07
25,Ron,Scott,Santa Fe,NM,33248124,ron_scott@mail.com,2019-06-07
26,Pam,Asis,Rio Rancho,NM,75597404,pam_asis@mail.com,2019-04-07
27,Pam,Lenin,Albuquerque,NM,95810294,pam_lenin@mail.com,2019-07-07
28,Pam,Scott,Albuquerque,NM,76357038,pam_scott@mail.com,2019-01-07
29,Sara,Simpson,Evans,GA,43510059,sara_simpson@mail.com,2019-05-07
30,Ron,Scott,Augusta,GA,62212608,ron_scott@mail.com,2019-02-07
31,Ron,Simpson,Augusta,GA,32751317,ron_simpson@mail.com,2019-07-07
32,Ron,Lenin,Evans,GA,88394020,ron_lenin@mail.com,2019-11-07
33,Debbie,Simpson,Augusta,GA,63735434,debbie_simpson@mail.com,2019-09-07
34,Pam,Moctezuma,Beech Island,SC,47460734,pam_moctezuma@mail.com,2019-11-07
35,Sara,Moctezuma,East Point,GA,23167527,sara_moctezuma@mail.com,2019-04-07
36,Debbie,Asis,Atlanta,GA,57760991,debbie_asis@mail.com,2019-02-07
37,Sara,Moctezuma,Doraville,GA,22777306,sara_moctezuma@mail.com,2019-10-07
38,Pam,Moctezuma,East Point,GA,46860637,pam_moctezuma@mail.com,2019-04-07
39,Debbie,Lenin,Grayson,GA,89790190,debbie_lenin@mail.com,2019-01-07
40,Pam,Asis,Atlanta,GA,54133273,pam_asis@mail.com,2019-07-07
41,John,Lenin,Atlanta,GA,68707982,john_lenin@mail.com,2019-05-07
42,Pam,Simpson,Atlanta,GA,66786152,pam_simpson@mail.com,2019-06-07
43,Debbie,Moctezuma,Doraville,GA,41978517,debbie_moctezuma@mail.com,2019-09-07
44,Sara,Drinkwater,East Point,GA,25674808,sara_drinkwater@mail.com,2019-11-07
45,Dwight,Scott,Fairburn,GA,83533937,dwight_scott@mail.com,2019-03-07
46,Dwight,Wright,Atlanta,GA,49677911,dwight_wright@mail.com,2019-05-07
47,John,Asis,Atlanta,GA,35058094,john_asis@mail.com,2019-03-07
48,Debbie,Lenin,Atlanta,GA,59315443,debbie_lenin@mail.com,2019-07-07
